Antimicrobial agent(s),Gene,Product,Reference gene accession no. (nucleotide positions)
Penicillin,blaZ,Class A beta-lactamase,BX571856.1 (1913827–1914672)
Methicillin,mecA,Low-affinity PBP2,BX571856.1 (44919–46925)
Erythromycin,msrA,Erythromycin resistance protein,CP003194 (54168–55634)
Erythromycin and clindamycin,ermA,rRNA adenine N-6-methyltransferase,BA000018.3 (56002–56733)
Erythromycin and clindamycin,ermB,rRNA adenine N-6-methyltransferase,AB699882.1 (4971–5708)
Erythromycin and clindamycin,ermC,rRNA adenine N-6-methyltransferase,HE579068 (7858–8592)
Erythromycin and clindamycin,ermT,23S rRNA methylase,HF583292 (11344–12078)
Tetracycline,tetK,MFS tetracycline effux pump,FN433596 (69118–70497)
Tetracycline,tetL,MFS tetracycline efflux pump,HF583292 (7713–9089)
Tetracycline,tetM,Ribosomal protection protein,CP002643 (427033–428952)
Vancomycin,vanA,Low-affinity peptidoglycan precursor,AE017171.1
Fusidic acid,fusB,Fusidic acid detoxification,CP003193.1 (1336–1977)
Fusidic acid,far,Ribosome protection protein,AY373761.1 (19072–19713)
Trimethoprim,dfrA,Insensitive dihydrofolate reductase,CP002120 (2093303–2093788)
Trimethoprim,dfrG,Insensitive dihydrofolate reductase,FN433596 (502263–502760)
Gentamicin,aacA-aphD,6′-aminoglycoside N-acetyltransferase/2″-aminoglycoside phosphotransferase,FN433596.1 (2209531–2210970)
Mupirocin,mupA,Isoleucyl-tRNA synthetase,HE579068 (2157–5231)
Mupirocin,mupB,Isoleucyl-tRNA synthetase,JQ231224
